property_type,place,area,furnishing_details,society,bedrooms,bathroom,balcony,price_per_sqft,price,latitude,longitude
flat,vaishnodevi circle,1512.0,unfurnished,sarang elegance,3,3.0,1.0,4100.0,0.62,23.136343132120857,72.54237623802707
flat,vaishnodevi circle,1512.0,unfurnished,sarang elegance,3,3.0,1.0,3902.0,0.59,23.136343132120857,72.54237623802707
flat,vaishnodevi circle,1512.0,unfurnished,sarang elegance,3,3.0,1.0,3836.0,0.58,23.136343132120857,72.54237623802707
flat,vasna,680.0,furnished,rajyash reyansh,2,2.0,1.0,7794.0,0.53,23.0020055,72.5472413
flat,vasna,700.0,furnished,rajyash reyansh,2,2.0,1.0,7857.0,0.55,23.0020055,72.5472413
flat,vasna,610.0,semi-furnished,rajyash reyansh,2,2.0,1.0,8852.0,0.54,23.0020055,72.5472413
flat,vasna,600.0,furnished,rajyash reyansh,2,2.0,1.0,7333.0,0.44,23.0020055,72.5472413
flat,ghuma,1263.0,unfurnished,,2,2.0,1.0,3720.0,0.47,23.0295113,72.4506006
flat,ghuma,1242.0,unfurnished,,2,2.0,1.0,3705.0,0.46,23.0295113,72.4506006
flat,ghuma,1243.0,unfurnished,,2,2.0,1.0,3700.0,0.46,23.0295113,72.4506006
flat,ghuma,1243.0,unfurnished,,2,2.0,1.0,3700.0,0.46,23.0295113,72.4506006
flat,bopal road,630.0,unfurnished,,1,1.0,1.0,0.0,0.3,23.02755966725296,72.50430922375548
flat,ghuma,1264.0,unfurnished,,2,2.0,1.0,3640.0,0.46,23.0295113,72.4506006
flat,ghuma,1250.0,unfurnished,,2,2.0,1.0,3600.0,0.45,23.0295113,72.4506006
flat,naroda,630.0,unfurnished,,2,1.0,1.0,7143.0,0.45,23.0732586,72.6508299
flat,sanand sarkhej road,639.0,furnished,,1,1.0,1.0,4385.0,0.28,22.98559169634562,72.44033185151471
flat,jodhpur,2088.0,unfurnished,,3,3.0,1.0,6322.0,1.32,23.0169268,72.5204317
flat,iscon ambli road,6396.0,semi-furnished,,5,6.0,2.0,7208.0,4.61,23.0281431589799,72.48584513298198
flat,ghuma,1350.0,unfurnished,,2,2.0,3.0,4296.0,0.58,23.0295113,72.4506006
flat,thaltej,500.0,semi-furnished,,1,1.0,1.0,17000.0,0.85,23.0485393,72.511742
flat,maninagar,1180.0,furnished,,2,2.0,2.0,6186.0,0.73,22.9986596,72.6114013
flat,nikol,1188.0,semi-furnished,kv satva shiv gold,2,2.0,2.0,4461.0,0.53,23.0589329,72.6718736720388
flat,chandkheda,895.0,semi-furnished,,2,2.0,2.0,4470.0,0.4,23.1100643,72.5811205
flat,chandlodiya,400.0,unfurnished,,1,1.0,1.0,0.0,0.35,23.0751633,72.5440359
flat,ghuma,1250.0,furnished,solis one,3,3.0,2.0,0.0,1.05,23.0295113,72.4506006
flat,memnagar,968.75,furnished,indraprasth tower,2,2.0,1.0,0.0,0.65,23.0516973,72.535169
flat,motera,1152.0,unfurnished,,2,2.0,1.0,5208.0,0.6,23.0917717,72.59733447335586
flat,vatva,1260.0,furnished,,2,2.0,1.0,3810.0,0.48,22.9589978,72.6297981
flat,makarba,1925.0,unfurnished,,3,3.0,1.0,4000.0,0.77,22.996342,72.5043085
flat,makarba,1922.0,unfurnished,,3,3.0,1.0,3850.0,0.74,22.996342,72.5043085
flat,makarba,1896.0,unfurnished,,3,3.0,1.0,3850.0,0.73,22.996342,72.5043085
flat,bhadaj,3000.0,unfurnished,,4,4.0,1.0,3800.0,1.14,23.0868734,72.4835036
flat,bhadaj,2158.0,unfurnished,,3,3.0,1.0,3800.0,0.82,23.0868734,72.4835036
flat,odhav,1521.0,unfurnished,,3,3.0,1.0,3616.0,0.55,23.0185001,72.65776469426447
flat,mumatpura,1836.0,unfurnished,,3,3.0,1.0,5719.0,1.05,23.018494,72.495454
flat,ognaj,1350.0,unfurnished,,3,2.0,1.0,3556.0,0.48,23.1177924,72.5136803
flat,usmanpura,972.0,semi-furnished,,2,2.0,1.0,6687.0,0.65,23.0494863,72.5672615
flat,paldi,1100.0,semi-furnished,anmol ratn app,2,2.0,2.0,0.0,1.25,23.0145531,72.5635432
flat,isanpur,750.0,unfurnished,,1,1.0,1.0,2800.0,0.21,22.9811295,72.6012948
flat,sarvodaya nagar,846.0,unfurnished,,2,2.0,1.0,4965.0,0.42,23.064136984317575,72.53490080792913
flat,maninagar,900.0,furnished,,2,2.0,1.0,6111.0,0.55,22.9986596,72.6114013
flat,lal darwaja,1008.0,unfurnished,,2,2.0,1.0,7440.0,0.75,23.0242214,72.57753300001717
flat,sarvodaya nagar,1000.0,unfurnished,,2,2.0,1.0,5000.0,0.5,23.064136984317575,72.53490080792913
